requested_hz,firmware_hz,measured_hz,deviation_pct,samples_per_period
244,244.14,243.97384600370884,-0.01071885093899877,40983.60655737705
276,276.548,276.3537881195508,0.1281841012865266,36231.884057971016
312,312.5,312.3633410382958,0.11645546099224374,32051.28205128205
353,353.107,352.8955076401882,-0.02960123507416039,28328.611898016996
399,398.089,397.8674305721335,-0.2838519869339563,25062.65664160401
451,449.64,449.3170381020848,-0.37316228335149004,22172.949002217294
510,510.204,509.6710073647443,-0.06450835985405917,19607.843137254902
576,576.036,575.473326811304,-0.09143631748194596,17361.11111111111
652,651.041,650.4911207961989,-0.2314231907670465,15337.423312883435
737,735.294,734.6998751010191,-0.3120929306622694,13568.521031207598
833,833.333,832.5701440346421,-0.051603357185820854,12004.801920768306
942,939.849,938.9671361502348,-0.3219600689772027,10615.711252653928
1065,1063.829,1062.6992561105158,-0.2160322900924167,9389.671361502347
1204,1201.923,1200.480192076832,-0.2923428507614573,8305.647840531561
1361,1358.695,1357.40464232389,-0.2641702921462232,7347.538574577517
1539,1543.209,1541.5446277169676,0.16534293157684374,6497.72579597141
1740,1736.111,1734.3045438779154,-0.32732506448761944,5747.126436781609
1967,1968.503,1966.5683382497732,-0.02194518303135712,5083.884087442806
2224,2222.222,2220.248667850799,-0.16867500670868085,4496.402877697842
2514,2512.562,2510.0401606425257,-0.1575115098438451,3977.724741447892
2843,2840.909,2837.684449489195,-0.18696976823092593,3517.4111853675695
3214,3205.128,3202.049311559383,-0.37183224768565293,3111.3876789047918
3634,3623.188,3620.56480811001,-0.36970808723142995,2751.78866263071
4109,4115.226,4111.8421052631575,0.06916780878942477,2433.682161109759
4646,4651.162,4646.840148698912,0.01808326945571124,2152.389151958674
5252,5263.157,5257.623554153482,0.10707452691320571,1904.036557501904
5938,5952.38,5945.303210463723,0.12299108224525412,1684.068710003368
6714,6711.409,6706.908115358822,-0.10562830862641921,1489.4250819183794
7591,7575.757,7570.022710068353,-0.2763442225220226,1317.3494928204452
8583,8583.69,8576.329331046718,-0.07771954972948938,1165.093790050099
9704,9708.737,9699.321047526666,-0.04821674024457948,1030.5028854080792
10971,10989.01,10976.948408342874,0.05421938148641186,911.4939385653086
12405,12422.36,12406.947890818841,0.01570246528691002,806.1265618702137
14025,13986.013,13966.480446931815,-0.4172517152811758,713.0124777183601
15857,15873.015,15847.86053882814,-0.05763676087444411,630.6363120388472
17928,17937.219,17921.14695340559,-0.03822538261049495,557.7867023650156
20270,20304.568,20283.975659228337,0.06894750482652917,493.33991119881597
22918,22857.142,22831.050228312266,-0.3793951116490707,436.3382494109434
25912,25974.025,25974.025974025746,0.23937161942631258,385.9215807347947
29296,29197.08,29154.51895043647,-0.4829364062108423,341.3435281267067
33123,33057.851,33003.300330036276,-0.36137931335846346,301.9050206804939
37450,37383.177,37313.43283582995,-0.3646653248866394,267.022696929239
42342,42328.042,42194.092827013905,-0.34931550939042855,236.17212224269048
47873,47904.191,47846.88995215132,-0.05454023739618765,208.88601090384978
54126,54054.054,54054.05405404054,-0.13292307940630785,184.75409230314452
61196,61068.702,60975.6097560985,-0.3601383160688608,163.40937316164454
69190,68965.517,68965.51724137635,-0.3244439349958805,144.52955629426216
78228,78431.372,78125.00000004045,-0.1316664109520193,127.83146699391523
88447,88888.888,88495.57522130258,0.05492014573991701,113.0620597646048
100000,100000.0,100000.00000000407,4.074536263942718e-12,100.0
